"LP";"Numer kodowy ";"Nazwa produktu";"odpadki";"wartość energetyczna";;"woda";"białko ogółem";"białko zwierzęce";"białko roślinne";"tłuszcz";"węglowodany ogółem";"popiół";"składniki mineralne";;;;;;;;;"witaminy";;;;;;;;;;;;"kwasy tłuszczowe nasycone";;;;;;;;;;;;"kwasy tłuszczowe jednonienasycone";;;;;;;;"kwasy tłuszczowe wielonienasycone";;;;;;;;;"cholesterol";"aminokwasy";;;;;;;;;;;;;;;;;;"węglowodany";;;;"% energii z:";;
;;;;;;;;;;;;;"sód";"potas";"wapń";"fosfor";"magnez";"żelazo";"cynk";"miedź";"mangan";"ek.retinolu";"retinol";"beta-karoten";"D";"E";"tiamina";"ryboflawina";"niacyna";" B6";"foliany";" B12";"C";"C 4:0";"C 6:0";"C 8:0";"C 10:0";"C 12:0";"C 14:0";"C 15:0";"C 16:0";"C 17:0";"C 18:0";"C 20:0";"ogółem";"C 14:1";"C 15:1";"C 16:1";"C 17:1";"C 18:1";"C 20:1";"C 22:1";"ogółem";"C 18:2";"C 18:3";"C 18:4";"C 20:3";"C 20:4";"C 20:5";"C 22:5";"C 22:6";"ogółem";;"izoleucyna";"leucyna";"lizyna";"metionina";"cystyna";"fenylo-alanina";"tyrozyna";"treonina";"tryptofan";"walina";"arginina";"histydyna";"alanina";"kwas asparaginowy";"kwas glutaminowy";"glicyna";"prolina";"seryna";"sacharoza";"laktoza";"skrobia";"błonnik pokarmowy";"białka";"tłuszczu";"węglo-wodanów"
;;;"g";"KJ";"kcal";"g";"g";"g";"g";"g";"g";"g";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mcg";"mcg";"mcg";"mcg";"mg";"mg";"mg";"mg";"mg";"mcg";"mcg";"mg";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"g";"g";"g";"g";;;
39;"1.4.1.007";"Ser, Myśliwski pełnotłusty";0;1449;346;43,0;25,5;25,5;0,0;27,4;0,1;4,0;674;82;792;494;27;0,4;3,59;0,06;0,04;213;186;161;0,25;0,44;0,012;0,372;0,06;0,04;20;2,20;0,0;0,82;0,51;0,31;0,73;0,91;2,90;0,29;6,73;0,26;2,90;0,00;16,36;0,43;0,18;0,69;0,29;7,20;0,00;0,00;8,79;0,43;0,38;0,00;0,00;0,00;0,00;0,00;0,00;0,81;83;1118;2039;1840;584;137;1243;1360;925;363;1590;792;671;722;1661;5531;460;2565;1899;0,0;0,1;0,0;0,0;30;70;0
40;"1.4.1.008";"Ser, Myśliwski tłusty";0;1416;338;41,4;29,0;29,0;0,0;24,9;0,1;4,6;768;93;903;563;31;0,5;3,69;0,06;0,04;190;166;143;0,19;0,39;0,014;0,424;0,07;0,04;20;2,20;0,0;0,73;0,46;0,27;0,63;0,80;2,55;0,28;6,67;0,25;2,87;0,00;15,51;0,36;0,17;0,69;0,28;7,14;0,00;0,00;8,64;0,36;0,38;0,00;0,00;0,00;0,00;0,00;0,00;0,74;72;1347;1353;2216;704;166;1498;1639;1116;436;1916;956;810;869;2001;6668;553;3091;1659;0,0;0,1;0,0;0,0;35;65;0
41;"1.4.1.009";"Ser, Parmezan";0;1891;452;19,4;41,5;41,5;0,0;32,0;0,1;7,0;1860;107;1380;810;51;1,0;3,20;0,20;0,04;253;235;107;0,24;0,70;0,040;0,390;0,30;0,10;7;1,60;0,0;1,27;0,72;0,36;0,82;1,05;3,26;0,00;9,26;0,00;3,63;0,28;20,65;0,00;0,00;0,66;0,00;6,87;0,12;0,00;7,65;0,72;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,87;79;2010;3675;3493;1010;246;2010;2128;1420;519;2602;1420;1482;1128;2365;8706;655;4440;2192;0,0;0,1;0,0;0,0;37;63;0
42;"1.4.1.010";"Ser, Rokpol pełnotłusty";0;1518;363;41,3;22,6;22,6;0,0;30,6;0,1;5,4;1368;109;530;322;20;0,5;2,54;0,05;0,02;521;456;391;0,70;0,50;0,029;0,400;0,57;0,15;37;1,00;0,0;0,93;0,57;0,34;0,81;1,01;3,24;0,31;7,52;0,29;3,24;0,00;18,26;0,41;0,20;0,78;0,31;8,04;0,00;0,00;9,74;0,41;0,44;0,00;0,00;0,00;0,00;0,00;0,00;0,85;99;1007;1838;1658;528;126;1120;1316;834;326;1431;714;605;649;1496;4985;415;2313;1240;0,0;0,1;0,0;0,0;25;75;0
43;"1.4.1.011";"Ser, Salami pełnotłusty";0;1470;351;43,0;25,2;25,2;0,0;28,1;0,1;3,6;585;89;817;501;27;0,4;3,59;0,06;0,04;289;253;215;0,25;0,44;0,026;0,294;0,04;0,03;20;2,20;0,0;0,84;0,53;0,32;0,75;0,93;2,97;0,30;6,90;0,26;2,97;0,00;16,77;0,37;0,19;0,71;0,30;7,39;0,00;0,00;8,96;0,37;0,39;0,00;0,00;0,00;0,00;0,00;0,00;0,76;82;1127;2058;1856;590;138;1254;1372;934;367;1603;799;678;728;1675;5581;462;2588;1388;0,0;0,1;0,0;0,0;29;71;0
44;"1.4.1.012";"Ser, Trapistów pełnotłusty";0;1537;367;41,0;23,5;23,5;0,0;30,7;0,1;4,7;722;86;943;578;33;0,5;3,46;0,03;0,05;285;249;214;0,61;0,44;0,025;0,405;0,04;0,04;20;2,00;0,0;0,93;0,59;0,35;0,81;1,02;3,25;0,32;7,55;0,29;3,25;0,00;18,36;0,40;0,21;0,78;0,32;8,06;0,00;0,00;9,77;0,40;0,43;0,00;0,00;0,00;0,00;0,00;0,00;0,83;83;1052;1919;1731;549;130;1169;1279;871;341;1494;746;632;679;1561;5205;431;2414;1295;0,0;0,1;0,0;0,0;26;74;0
45;"1.4.1.013";"Ser, Trapistów tłusty";0;1469;351;40,6;28,0;28,0;0,0;26,8;0,1;4,5;780;93;972;596;34;0,5;3,74;0,03;0,05;247;216;185;0,54;0,38;0,024;0,393;0,04;0,03;20;2,00;0,0;0,81;0,51;0,30;0,71;0,89;2,84;0,27;6,58;0,25;2,84;0,00;16,00;0,36;0,18;0,68;0,27;7,04;0,00;0,00;8,53;0,36;0,38;0,00;0,00;0,00;0,00;0,00;0,00;0,74;74;1253;2287;2061;655;155;1393;1524;1038;407;1782;889;753;809;1862;6200;514;2876;1543;0,0;0,1;0,0;0,0;32;68;0
46;"1.4.1.014";"Ser, Tylżycki pełnotłusty";0;1478;353;41,5;26,1;26,1;0,0;27,9;0,1;4,4;744;84;815;510;28;0,7;3,68;0,03;0,05;350;306;262;0,59;0,45;0,022;0,360;0,06;0,03;30;2,00;0,0;0,85;0,52;0,31;0,74;0,92;2,95;0,29;6,86;0,27;2,95;0,00;16,66;0,36;0,18;0,71;0,29;7,33;0,00;0,00;8,87;0,36;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,76;84;1168;2131;1922;610;143;1298;1421;968;379;1661;827;702;755;1735;5779;480;2681;1439;0,0;0,1;0,0;0,0;30;70;0
47;"1.4.1.015";"Ser, Tylżycki tłusty";0;1399;334;42,5;27,8;27,8;0,0;25,0;0,1;4,6;861;108;583;550;28;0,7;3,91;0,03;0,03;260;227;195;0,51;0,39;0,025;0,420;0,06;0,05;30;2,00;0,0;0,76;0,47;0,28;0,66;0,83;2,64;0,26;6,14;0,24;2,64;0,00;14,92;0,33;0,16;0,64;0,26;6,56;0,00;0,00;7,95;0,33;0,36;0,00;0,00;0,00;0,00;0,00;0,00;0,69;74;1244;2268;2047;652;154;1383;1514;1030;403;1769;882;746;802;1849;6156;512;2856;1531;0,0;0,1;0,0;0,0;34;66;0
48;"1.4.2.001";"Deser twarogowy termizowany kakaowy";0;654;156;68,0;13,9;13,7;0,2;6,2;11,2;0,7;35;108;77;175;11;0,2;0,75;0,05;0,04;50;44;37;0,05;0,11;0,019;0,339;0,16;0,07;18,2;0,64;0,0;0,19;0,11;0,06;0,16;0,20;0,65;0,06;1,51;0,05;0,71;0,00;3,70;0,09;0,05;0,15;0,06;1,65;0,00;0,00;2,00;0,10;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,20;22;683;1175;919;336;88;635;697;630;190;907;444;352;415;931;3038;253;1368;839;7,8;2,6;0,1;0,1;36;35;29
49;"1.4.2.002";"Deser twarogowy termizowany truskawkowy";0;711;170;64,4;11,0;10,9;0,1;5,8;18,3;0,5;29;86;66;138;7;0,2;0,63;0,02;0,02;48;42;39;0,04;0,11;0,017;0,272;0,14;0,06;14,3;0,51;1,2;0,19;0,10;0,06;0,15;0,19;0,62;0,05;1,41;0,05;0,62;0,00;3,44;0,09;0,04;0,15;0,05;1,53;0,00;0,00;1,86;0,10;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,20;21;540;931;730;266;68;501;552;496;151;716;347;279;327;743;2406;197;1086;663;15,6;2,2;0,0;0,1;26;30;44
50;"1.4.2.003";"Ser twarogowy chudy";0;415;99;75,3;19,8;19,8;0,0;0,5;3,5;0,9;41;96;96;240;9;0,2;1,12;0,02;0,02;5;4;3;0,04;0,01;0,030;0,495;0,10;0,09;27;0,90;0,0;0,02;0,01;0,00;0,01;0,02;0,05;0,00;0,12;0,00;0,05;0,00;0,28;0,01;0,00;0,01;0,00;0,14;0,00;0,00;0,16;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,02;2;955;1679;1309;482;121;905;999;898;272;1291;624;503;586;1316;4345;353;1963;1199;0,0;3,1;0,0;0,0;81;5;14
51;"1.4.2.004";"Ser twarogowy półtłusty";0;555;133;72,1;18,7;18,7;0,0;4,7;3,7;0,8;44;113;94;227;9;0,2;0,92;0,02;0,02;39;34;29;0,09;0,08;0,022;0,450;0,18;0,09;27;0,80;0,0;0,16;0,08;0,04;0,12;0,16;0,51;0,04;1,13;0,04;0,51;0,00;2,79;0,08;0,04;0,12;0,04;1,25;0,00;0,00;1,53;0,08;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,16;17;919;1584;1235;454;114;854;943;848;257;1218;589;475;553;1242;4099;333;1852;1132;0,0;3,2;0,0;0,0;58;31;11
52;"1.4.2.005";"Ser twarogowy tłusty";0;734;175;67,9;17,7;17,7;0,0;10,1;3,5;0,8;40;104;88;216;9;0,2;0,95;0,03;0,02;83;73;62;0,19;0,17;0,031;0,358;0,15;0,10;27;0,70;0,0;0,34;0,17;0,08;0,25;0,34;1,09;0,08;2,44;0,08;1,09;0,00;5,96;0,17;0,08;0,25;0,08;2,69;0,00;0,00;3,27;0,17;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,34;37;869;1499;1169;430;108;808;892;802;243;1153;557;449;523;1176;3880;316;1753;1071;0,0;2,9;0,0;0,0;41;51;8
53;"1.4.2.006";"Ser typu ""Feta""";0;898;215;60,8;17,0;17,0;0,0;16,0;1,0;5,2;1100;62;500;360;19;0,3;2,00;0,08;0,04;135;125;60;0,50;0,40;0,040;0,300;0,10;0,06;23;1,10;0,0;0,64;0,36;0,18;0,41;0,53;1,63;0,00;4,63;0,00;1,81;0,14;10,33;0,00;0,00;0,33;0,00;3,43;0,06;0,00;3,82;0,36;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,44;89;905;1467;1372;457;81;838;886;629;219;1114;610;457;533;1267;3221;333;1676;933;0,0;1,0;0,0;0,0;32;66;2
54;"1.4.2.007";"Serek termizowany pieczarkowy";0;473;113;74,9;15,9;15,5;0,4;4,0;3,5;1,7;387;136;80;213;12;0,3;0,83;0,08;0,03;33;28;26;0,34;0,08;0,022;0,461;0,86;0,08;24,1;0,63;0,7;0,13;0,07;0,03;0,10;0,13;0,42;0,03;0,94;0,03;0,43;0,00;2,31;0,07;0,03;0,10;0,03;1,04;0,00;0,00;1,27;0,10;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,17;14;778;1348;1068;387;112;724;797;718;217;1022;507;415;479;1069;3456;292;1555;955;0,0;2,7;0,0;0,3;57;31;12
55;"1.4.2.008";"Serek twarogowy homogenizowany  pełnotłusty";0;674;161;72,6;12,7;12,7;0,0;11,0;3,0;0,7;47;117;98;140;9;0,2;0,45;0,02;0,01;39;34;30;0,19;0,19;0,033;0,249;0,13;0,03;22;0,70;0,0;0,33;0,21;0,12;0,29;0,36;1,16;0,11;2,70;0,10;1,16;0,00;6,54;0,15;0,07;0,28;0,11;2,89;0,00;0,00;3,50;0,15;0,16;0,00;0,00;0,00;0,00;0,00;0,00;0,31;37;624;1076;838;308;77;580;640;576;175;827;400;323;376;844;2784;225;1258;770;0,0;2,0;0,0;0,0;32;60;8
56;"1.4.2.009";"Serek twarogowy homogenizowany truskawkowy";0;704;168;62,4;15,3;15,2;0,1;3,9;17,7;0,7;36;99;79;186;8;0,2;0,80;0,02;0,02;32;28;25;0,07;0,07;0,019;0,368;0,16;0,08;19,8;0,62;0,7;0,13;0,07;0,03;0,10;0,13;0,42;0,03;0,92;0,03;0,42;0,00;2,28;0,07;0,03;0,10;0,03;1,02;0,00;0,00;1,25;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,14;14;751;1295;1010;371;93;698;771;693;210;996;483;389;453;1023;3352;273;1513;926;14,6;2,6;0,0;0,1;37;21;42
57;"1.4.2.010";"Serek twarogowy homogenizowany waniliowy";0;667;159;65,0;16,8;16,8;0,0;4,2;13,3;0,7;40;102;85;204;8;0,2;0,83;0,02;0,02;35;31;26;0,08;0,07;0,020;0,405;0,16;0,08;21,8;0,68;0,0;0,14;0,07;0,04;0,11;0,14;0,46;0,04;1,02;0,04;0,46;0,00;2,52;0,07;0,04;0,11;0,04;1,12;0,00;0,00;1,38;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,14;15;825;1423;1109;408;102;767;847;761;231;1094;530;427;497;1116;3682;299;1664;1017;10,0;2,9;0,0;0,0;43;23;34
58;"1.4.2.011";"Serek twarogowy ziarnisty";0;424;101;79,2;12,3;12,3;0,0;4,3;3,3;0,9;380;80;80;140;8;0,1;0,50;0,02;0,01;22;20;14;0,09;0,07;0,029;0,250;0,11;0,06;15;0,70;0,0;0,16;0,09;0,05;0,10;0,13;0,41;0,00;1,16;0,00;0,45;0,03;2,58;0,00;0,00;0,08;0,00;0,86;0,02;0,00;0,96;0,09;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,11;15;637;1139;897;332;103;592;592;484;121;672;502;368;574;744;2384;242;1300;619;0,0;3,3;0,0;0,0;49;38;13
59;"1.4.2.012";"Serek typu ""Fromage"" naturalny";0;1587;379;48,8;10,2;10,2;0,0;37,1;2,4;1,5;396;66;55;123;8;0,2;0,51;0,02;0,01;362;333;174;0,37;1,14;0,017;0,250;0,11;0,05;13,9;0,39;0,0;0,17;0,21;0,21;0,70;1,07;4,58;0,52;13,67;0,31;3,57;0,03;25,17;0,37;0,13;0,86;0,10;7,97;0,00;0,00;9,44;0,50;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,65;113;502;866;681;248;64;465;510;460;140;665;321;259;303;679;2227;182;1008;622;0,0;2,1;0,0;0,0;11;86;3
60;"1.4.2.013";"Serek typu ""Fromage"" z czosnkiem";0;1537;367;49,3;10,0;9,7;0,3;35,2;4,0;1,5;379;83;54;125;9;0,2;0,54;0,03;0,04;343;316;165;0,35;1,08;0,027;0,242;0,14;0,06;13,4;0,37;0,8;0,16;0,20;0,20;0,67;1,01;4,35;0,49;12,97;0,29;3,39;0,03;23,88;0,35;0,13;0,81;0,10;7,56;0,00;0,00;8,96;0,49;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,63;107;493;844;667;241;65;455;490;448;137;653;353;254;297;682;2170;187;962;604;0,0;2,0;0,8;0,2;11;85;4
61;"1.4.2.014";"Deser ryżowy jabłkowy";0;560;134;69,7;2,8;2,3;0,5;3,0;23,9;0,6;54;124;86;83;8;0,1;0,47;0,02;0,05;32;29;18;0,03;0,13;0,032;0,100;0,18;0,06;4,8;0,30;1,2;0,01;0,01;0,01;0,05;0,07;0,33;0,04;1,14;0,02;0,34;0,00;2,03;0,02;0,01;0,07;0,01;0,81;0,00;0,00;0,91;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,07;7;154;239;238;72;30;131;115;105;35;186;111;73;102;214;544;66;236;149;13,5;2,7;7,4;0,3;8;20;72
62;"1.4.2.015";"Deser ryżowy waniliowy";0;556;133;69,8;3,0;2,5;0,5;2,9;23,5;0,6;52;120;84;79;7;0,1;0,43;0,02;0,05;32;29;18;0,02;0,12;0,035;0,082;0,17;0,06;4,7;0,30;0,8;0,01;0,01;0,01;0,05;0,07;0,32;0,04;1,09;0,02;0,33;0,00;1,96;0,02;0,01;0,07;0,00;0,80;0,00;0,00;0,90;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,07;9;165;256;255;76;32;141;125;113;37;199;120;78;108;227;584;71;253;159;12,4;2,7;7,4;0,2;9;19;72
63;"1.4.3.001";"Ser topiony, edamski";0;1249;298;55,0;13,5;13,5;0,0;27,0;1,2;3,3;841;41;367;578;16;0,6;2,01;0,02;0,05;174;161;75;0,21;0,46;0,016;0,230;0,04;0,03;7;0,90;0,0;0,82;0,51;0,31;0,71;0,89;2,86;0,28;6,63;0,26;2,86;0,00;16,13;0,36;0,18;0,69;0,28;7,09;0,00;0,00;8,60;0,36;0,38;0,00;0,00;0,00;0,00;0,00;0,00;0,74;87;604;1103;994;316;74;672;735;501;196;859;428;363;390;898;2990;248;1386;744;0,0;1,0;0,0;0,0;18;80;2
64;"1.5.1.001";"Lody mleczno-owocowe";0;484;116;73,2;3,9;3,8;0,1;2,5;19,4;1,0;57;192;155;113;17;0,2;0,42;0,04;0,01;21;18;20;0,05;0,05;0,040;0,203;0,17;0,07;8;0,20;3,0;0,08;0,05;0,03;0,07;0,08;0,26;0,03;0,61;0,02;0,26;0,00;1,49;0,03;0,02;0,06;0,03;0,66;0,00;0,00;0,80;0,03;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,07;8;204;346;321;97;34;178;171;161;50;265;120;98;120;278;803;72;372;210;14,5;4,3;0,0;0,3;14;19;67
65;"1.5.1.002";"Lody śmietankowe";0;668;160;70,0;3,2;3,2;0,0;8,5;17,6;0,7;47;148;125;90;13;0,1;0,34;0,02;0,00;71;62;53;0,10;0,14;0,038;0,159;0,11;0,05;6;0,40;0,0;0,26;0,16;0,10;0,22;0,28;0,90;0,09;2,09;0,08;0,90;0,00;5,08;0,11;0,06;0,22;0,09;2,23;0,00;0,00;2,71;0,11;0,12;0,00;0,00;0,00;0,00;0,00;0,00;0,23;34;168;284;264;79;29;146;140;132;41;218;99;80;99;228;659;59;306;171;13,0;4,4;0,0;0,0;8;47;45
66;"2.1.1.001";"Jaja kurze całe";0;582;139;76,2;12,5;12,5;0,0;9,7;0,6;1,0;141;133;47;204;12;2,2;1,76;0,06;0,03;272;270;13;1,70;0,73;0,064;0,542;0,06;0,10;65;1,60;0,0;0,00;0,00;0,00;0,00;0,00;0,02;0,00;2,65;0,00;0,32;0,00;3,00;0,00;0,00;0,20;0,00;4,12;0,00;0,00;4,34;0,70;0,01;0,00;0,00;0,02;0,00;0,00;0,08;0,73;360;736;1066;786;422;276;694;507;590;186;865;768;286;734;1070;1648;430;482;951;0,0;0,0;0,0;0,0;36;62;2
67;"2.1.1.002";"Białko jaja kurzego";0;205;49;87,4;10,9;10,9;0,0;0,2;0,7;0,8;200;154;6;17;11;0,2;0,30;0,03;0,01;0;0;0;0,00;0,00;0,006;0,429;0,07;0,01;20;0,10;0,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;643;917;649;410;261;663;424;469;161;790;616;239;680;937;1471;395;397;778;0,0;0,0;0,0;0,0;90;4;6
68;"2.1.1.003";"Żółtko jaja kurzego";0;1312;314;54,5;15,5;15,5;0,0;28,2;0,3;1,5;52;127;147;587;15;7,2;3,55;0,14;0,05;886;881;29;4,50;2,15;0,173;0,810;0,03;0,28;152;4,70;0,0;0,00;0,00;0,00;0,00;0,00;0,05;0,00;7,70;0,01;0,95;0,00;8,70;0,00;0,00;0,62;0,00;11,97;0,00;0,00;12,60;2,03;0,02;0,00;0,00;0,06;0,00;0,00;0,00;2,11;1062;912;1355;1078;404;283;692;685;862;232;971;1104;382;798;1329;1948;480;662;1320;0,0;0,0;0,0;0,0;20;80;0
69;"2.1.1.005";"Proszek jajeczny";0;2412;576;3,5;48,4;48,4;0,0;41,7;2,7;3,7;481;527;185;790;45;8,3;6,86;0,21;0,10;800;800;0;6,75;1,99;0,323;1,200;0,20;0,38;184;7,20;0,0;0,00;0,00;0,00;0,00;0,00;0,10;0,00;7,96;0,07;1,94;0,00;10,07;0,04;0,00;1,73;0,04;15,54;0,10;0,17;17,62;4,64;0,14;0,00;0,00;0,28;0,00;0,00;0,42;5,48;1900;2853;4130;3043;1636;1070;2685;1965;2287;719;3353;2974;1109;2845;4140;6377;1667;1867;3679;0,0;0,0;0,0;0,0;34;64;2
70;"3.1.1.001";"Baranina, łopatka";0;1190;284;58,6;15,6;15,6;0,0;25,0;0,0;0,8;66;249;9;155;23;2,3;2,97;0,10;0,02;53;53;0;0,30;0,60;0,140;0,190;4,50;0,16;3;1,00;0,0;0,00;0,00;0,12;0,00;0,00;1,26;0,14;5,63;0,23;4,86;0,02;12,26;0,16;0,00;0,30;0,23;8,88;0,00;0,00;9,57;0,58;0,58;0,00;0,00;0,05;0,00;0,00;0,00;1,21;78;798;1233;1307;392;205;640;529;752;202;810;1101;438;1058;1406;2362;947;748;671;0,0;0,0;0,0;0,0;22;78;0
71;"3.1.1.002";"Baranina, udziec";0;972;232;63,1;18,0;18,0;0,0;18,0;0,0;0,9;78;380;10;213;23;2,7;3,20;0,06;0,04;53;53;0;0,70;0,33;0,160;0,220;5,20;0,16;4;1,00;0,0;0,00;0,00;0,08;0,00;0,00;0,90;0,10;4,05;0,17;3,50;0,02;8,82;0,12;0,00;0,22;0,17;6,39;0,00;0,00;6,90;0,42;0,42;0,00;0,00;0,03;0,00;0,00;0,00;0,87;78;920;1423;1508;453;236;739;610;866;233;935;1271;506;1222;1622;2725;1094;863;774;0,0;0,0;0,0;0,0;31;69;0
72;"3.1.2.001";"Cielęcina, łopatka";0;442;106;76,2;19,9;19,9;0,0;2,8;0,0;1,1;87;395;11;199;15;2,9;2,06;0,25;0,03;30;30;0;0,30;0,34;0,140;0,400;6,10;0,14;5;1,30;0,0;0,00;0,00;0,00;0,00;0,01;0,09;0,00;0,58;0,00;0,32;0,00;1,00;0,00;0,00;0,13;0,00;1,05;0,01;0,00;1,19;0,15;0,02;0,00;0,00;0,04;0,01;0,01;0,01;0,24;71;1045;1637;1707;523;174;836;732;871;220;1080;1359;697;1254;1916;2925;1115;941;871;0,0;0,0;0,0;0,0;77;23;0
73;"3.1.2.002";"Cielęcina, sznyclówka";0;437;105;75,9;20,5;20,5;0,0;2,4;0,0;1,2;68;320;12;198;20;1,7;3,20;0,25;0,03;30;30;0;0,20;0,30;0,140;0,270;6,00;0,40;5;1,30;0,0;0,00;0,00;0,00;0,00;0,00;0,08;0,00;0,50;0,00;0,27;0,00;0,85;0,00;0,00;0,11;0,00;0,90;0,00;0,00;1,01;0,12;0,01;0,00;0,00;0,03;0,00;0,01;0,00;0,17;71;1075;1685;1757;539;179;861;754;897;237;1111;1399;718;1290;1973;3012;1148;968;897;0,0;0,0;0,0;0,0;80;20;0
74;"3.1.2.003";"Cielęcina, udziec";0;453;108;75,9;19,9;19,9;0,0;3,1;0,0;1,1;128;246;10;160;16;2,4;2,05;0,20;0,03;30;30;0;0,30;0,30;0,180;0,280;6,50;0,30;5;1,30;0,0;0,00;0,00;0,00;0,00;0,00;0,13;0,00;0,67;0,00;0,44;0,00;1,24;0,04;0,00;0,12;0,00;1,09;0,00;0,00;1,25;0,12;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,16;71;1045;1637;1707;523;174;836;732;871;220;1080;1359;697;1254;1916;2925;1115;941;871;0,0;0,0;0,0;0,0;75;25;0
75;"3.1.3.001";"Konina, mięso bez kości";0;458;109;74,9;21,5;21,5;0,0;2,5;0,0;1,1;46;345;15;200;24;3,5;2,70;0,14;0,01;30;30;0;0,40;0,52;0,140;0,270;4,50;0,50;8;3,10;0,0;0,00;0,00;0,00;0,00;0,01;0,08;0,00;0,64;0,00;0,16;0,00;0,89;0,00;0,00;0,14;0,00;0,67;0,01;0,00;0,82;0,28;0,25;0,00;0,00;0,04;0,01;0,03;0,01;0,62;75;1457;2129;2240;627;292;853;829;874;226;1122;1613;627;1212;1860;2735;964;896;943;0,0;0,0;0,0;0,0;80;20;0
76;"3.1.3.002";"Konina, mięso z kością";0;458;109;74,9;21,5;21,5;0,0;2,5;0,0;1,1;46;345;15;200;24;3,5;2,70;0,14;0,01;30;30;0;0,40;0,52;0,140;0,270;4,50;0,50;8;3,10;0,0;0,00;0,00;0,00;0,00;0,01;0,08;0,00;0,64;0,00;0,16;0,00;0,89;0,00;0,00;0,14;0,00;0,67;0,01;0,00;0,82;0,28;0,25;0,00;0,00;0,04;0,01;0,03;0,01;0,62;75;1457;2129;2240;627;292;853;829;874;226;1122;1613;627;1212;1860;2735;964;896;943;0,0;0,0;0,0;0,0;80;20;0
77;"3.1.4.001";"Wieprzowina klasa I";0;554;133;73,7;18,9;18,9;0,0;6,3;0,0;1,1;57;323;5;216;26;1,4;2,41;0,08;0,03;0;0;0;0,60;0,30;0,634;0,248;6,25;0,57;3;0,70;0,0;0,00;0,00;0,00;0,00;0,00;0,15;0,05;1,44;0,01;0,74;0,00;2,39;0,00;0,00;0,27;0,00;3,11;0,04;0,00;3,42;0,39;0,04;0,00;0,00;0,04;0,00;0,00;0,00;0,47;57;1000;1475;1581;529;219;815;699;958;266;1012;1244;643;1075;1743;2825;1112;890;815;0,0;0,0;0,0;0,0;58;42;0
78;"3.1.4.002";"Wieprzowina klasa II";0;1038;248;61,6;17,5;17,5;0,0;20,0;0,0;0,9;74;297;8;172;21;1,5;2,35;0,09;0,03;0;0;0;0,70;0,20;0,520;0,202;4,87;0,40;3;0,70;0,0;0,00;0,00;0,00;0,00;0,00;0,43;0,11;4,24;0,04;2,18;0,00;7,00;0,00;0,00;0,81;0,00;9,14;0,13;0,00;10,08;1,14;0,13;0,00;0,00;0,11;0,00;0,00;0,00;1,38;60;926;1366;1464;489;203;755;648;888;245;937;1151;596;994;1613;2615;1030;825;755;0,0;0,0;0,0;0,0;29;71;0
79;"3.1.4.003";"Wieprzowina klasa III";0;818;196;67,3;18,3;18,3;0,0;13,7;0,0;0,7;72;347;8;182;21;1,8;2,93;0,09;0,03;0;0;0;0,65;0,20;0,502;0,231;5,40;0,38;3;0,70;0,0;0,00;0,00;0,00;0,00;0,00;0,30;0,08;2,91;0,02;1,49;0,00;4,80;0,00;0,00;0,55;0,00;6,26;0,09;0,00;6,90;0,78;0,09;0,00;0,00;0,08;0,00;0,00;0,00;0,95;60;970;1430;1533;512;212;791;679;930;258;951;1206;624;1042;1691;2739;1078;863;791;0,0;0,0;0,0;0,0;38;62;0
